# Z (mm) 	 Energy Deposition (MeV)
483.35	22.7028
484.05	31.0218
484.75	9.02665
485.45	10.0469
486.15	11.0409
486.85	23.1464
487.55	12.9055
488.25	3.1402
488.95	2.81195
489.65	5.44998
490.35	7.02791
491.05	8.04822
491.75	14.132
492.45	18.0605
493.15	16.2559
493.85	19.149
494.55	25.2181
495.25	41.3095
495.95	17.3047
496.65	14.6226
497.35	20.3475
498.05	12.6777
498.75	16.2465
499.45	3.86503
500.15	10.0783
500.85	23.2666
501.55	8.50757
502.25	1.98373
502.95	4.02635
503.65	5.78935
504.35	4.97314
505.05	4.73096
505.75	6.16573
506.45	5.4811
507.15	4.79851
507.85	6.77372
508.55	7.10849
509.25	8.68852
509.95	14.1363
510.65	9.45295
511.35	11.9478
512.05	9.89443
512.75	12.0969
513.45	21.136
514.15	17.1322
514.85	61.2846
515.55	12.0829
516.25	13.9986
516.95	19.4758
517.65	29.5126
518.35	20.2173
519.05	24.1002
519.75	36.3462
520.45	27.5259
521.15	13.2552
521.85	14.7227
522.55	9.17954
523.25	5.45585
523.95	21.5029
524.65	25.7529
525.35	18.4114
526.05	13.9931
526.75	14.5637
527.45	16.3127
528.15	18.0784
528.85	17.7338
529.55	5.70537
530.25	2.34431
530.95	3.26846
531.65	4.99855
532.35	6.34094
533.05	15.1213
533.75	7.64532
534.45	6.0524
535.15	8.88084
535.85	16.0186
536.55	20.6168
537.25	7.50272
537.95	20.2844
538.65	9.8742
539.35	8.34956
540.05	1.16224
540.75	6.31824
541.45	1.31844
542.15	1.36997
542.85	1.45786
543.55	3.64752
544.25	1.64579
544.95	1.6257
545.65	1.16402
546.35	1.88994
547.05	1.35025
547.75	2.17792
548.45	1.90172
549.15	3.9391
549.85	2.37383
550.55	1.85361
551.25	17.3746
551.95	8.02728
552.65	9.28943
553.35	11.294
554.05	15.6517
554.75	18.2573
555.45	4.42114
556.15	2.13443
556.85	1.90127
557.55	6.52616
558.25	1.60155
558.95	2.22354
559.65	8.16389
560.35	2.55701
561.05	1.66215
561.75	1.86761
562.45	2.66301
563.15	1.68618
563.85	2.57518
564.55	5.35672
565.25	19.7447
565.95	30.6226
566.65	6.69797
567.35	8.05205
568.05	10.1429
568.75	10.7507
569.45	13.1286
570.15	11.6885
570.85	8.34472
571.55	16.2814
572.25	12.3661
572.95	11.8316
573.65	0.275291
574.35	0.525186
575.05	4.04293
575.75	5.48622
576.45	0.458961
577.15	0.370351
577.85	1.13606
578.55	0.102728
579.25	0.495883
579.95	1.66911
580.65	11.3527
581.35	10.6025
582.05	2.02471
582.75	0.483547
583.45	1.01633
584.15	3.63859
584.85	8.00891
585.55	3.5238
586.25	3.88537
586.95	4.34611
587.65	4.22764
588.35	5.68133
589.05	23.1358
589.75	2.20099
590.45	0.566036
591.15	5.19485
591.85	0.326189
592.55	0.792394
593.25	0.22334
593.95	0.922212
594.65	0.0647627
595.35	0.674683
596.05	6.57033
596.75	0.897592
597.45	0.671471
598.15	2.47925
598.85	0.683029
599.55	0.515315
600.25	0
600.95	0
601.65	0
602.35	0
603.05	0
603.75	0
604.45	0
605.15	0
605.85	0
606.55	0
607.25	0
607.95	0
608.65	0
609.35	0
610.05	0
610.75	0
611.45	0
612.15	0
612.85	0
613.55	0
614.25	0
614.95	0
615.65	0
616.35	0
617.05	0
617.75	0
618.45	0
619.15	0
619.85	0
620.55	0
621.25	0
621.95	0
622.65	0
623.35	0
624.05	0
624.75	0
625.45	0
626.15	0
626.85	0
627.55	0
628.25	0
628.95	0
629.65	0
630.35	0
631.05	0
631.75	0
632.45	0
633.15	0
633.85	0
634.55	0
635.25	0
635.95	0
636.65	0
637.35	0
638.05	0
638.75	0
639.45	0
640.15	0
640.85	0
641.55	0
642.25	0
642.95	0
643.65	0
644.35	0
645.05	0
645.75	0
646.45	0
647.15	0
647.85	0
648.55	0
649.25	0
649.95	0
650.65	0
651.35	0
652.05	0
652.75	0
653.45	0
654.15	0
654.85	0
655.55	0
656.25	0
656.95	0
657.65	0
658.35	0
659.05	0
659.75	0
660.45	0
661.15	0
661.85	0
662.55	0
663.25	0
663.95	0
664.65	0
665.35	0
666.05	0
666.75	0
667.45	0
668.15	0
668.85	0
669.55	0
670.25	0
670.95	0
671.65	0
672.35	0
673.05	0
673.75	0
674.45	0
675.15	0
675.85	0
676.55	0
677.25	0
677.95	0
678.65	0
679.35	0
680.05	0
680.75	0
681.45	0
682.15	0
682.85	0
683.55	0
684.25	0
684.95	0
685.65	0
686.35	0
687.05	0
687.75	0
688.45	0
689.15	0
689.85	0
690.55	0
691.25	0
691.95	0
692.65	0
693.35	0
694.05	0
694.75	0
695.45	0
696.15	0
696.85	0
697.55	0
698.25	0
698.95	0
699.65	0
